ticker,evtdate,DATE,abret
ORCL,8-Aug-16,3-Aug-16,-0.0055
ORCL,8-Aug-16,4-Aug-16,0.00379
ORCL,8-Aug-16,5-Aug-16,-0.00523
ORCL,8-Aug-16,8-Aug-16,0.00037
ORCL,8-Aug-16,9-Aug-16,-0.0025
ORCL,8-Aug-16,10-Aug-16,0.00171
ORCL,8-Aug-16,11-Aug-16,-0.00182
ORCL,12-Nov-07,7-Nov-07,-0.00471
ORCL,12-Nov-07,8-Nov-07,-0.07248
ORCL,12-Nov-07,9-Nov-07,-0.02735
ORCL,12-Nov-07,12-Nov-07,0.01654
ORCL,12-Nov-07,13-Nov-07,0.02574
ORCL,12-Nov-07,14-Nov-07,-0.01052
ORCL,12-Nov-07,15-Nov-07,0.02482
MSFT,22-Feb-13,19-Feb-13,0.00281
MSFT,22-Feb-13,20-Feb-13,0.00869
MSFT,22-Feb-13,21-Feb-13,-0.00486
MSFT,22-Feb-13,22-Feb-13,-0.00008
MSFT,22-Feb-13,25-Feb-13,0.00652
MSFT,22-Feb-13,26-Feb-13,-0.0057
MSFT,22-Feb-13,27-Feb-13,0.00209
HON,19-Apr-07,16-Apr-07,-0.00436
HON,19-Apr-07,17-Apr-07,0.00422
HON,19-Apr-07,18-Apr-07,0.01189
HON,19-Apr-07,19-Apr-07,0.01958
HON,19-Apr-07,20-Apr-07,0.03771
HON,19-Apr-07,23-Apr-07,-0.00169
HON,19-Apr-07,24-Apr-07,0.0329
XRIT,11-Apr-12,5-Apr-12,-0.01837
XRIT,11-Apr-12,9-Apr-12,-0.04248
XRIT,11-Apr-12,10-Apr-12,0.39741
XRIT,11-Apr-12,11-Apr-12,-0.02107
XRIT,11-Apr-12,12-Apr-12,-0.01195
XRIT,11-Apr-12,13-Apr-12,0.0115
XRIT,11-Apr-12,16-Apr-12,-0.01239
AAN,2-Nov-11,28-Oct-11,-0.02388
AAN,2-Nov-11,31-Oct-11,0.01208
AAN,2-Nov-11,1-Nov-11,-0.01537
AAN,2-Nov-11,2-Nov-11,-0.0007
AAN,2-Nov-11,3-Nov-11,0.00381
AAN,2-Nov-11,4-Nov-11,0.00046
AAN,2-Nov-11,7-Nov-11,-0.06105
AAN,22-Oct-13,17-Oct-13,-0.00438
AAN,22-Oct-13,18-Oct-13,-0.0079
AAN,22-Oct-13,21-Oct-13,-0.01102
AAN,22-Oct-13,22-Oct-13,0.02296
AAN,22-Oct-13,23-Oct-13,0.00943
AAN,22-Oct-13,24-Oct-13,0.00394
AAN,22-Oct-13,25-Oct-13,-0.03613
BRLI,25-Aug-14,20-Aug-14,-0.01689
BRLI,25-Aug-14,21-Aug-14,-0.00644
BRLI,25-Aug-14,22-Aug-14,0.00541
BRLI,25-Aug-14,25-Aug-14,-0.00821
BRLI,25-Aug-14,26-Aug-14,-0.00593
BRLI,25-Aug-14,27-Aug-14,0.01635
BRLI,25-Aug-14,28-Aug-14,-0.08816
BC,16-Feb-07,13-Feb-07,-0.0102
BC,16-Feb-07,14-Feb-07,-0.00113
BC,16-Feb-07,15-Feb-07,-0.01168
BC,16-Feb-07,16-Feb-07,0.00841
BC,16-Feb-07,20-Feb-07,0.00607
BC,16-Feb-07,21-Feb-07,0.01429
BC,16-Feb-07,22-Feb-07,0.01099
BC,21-Apr-08,16-Apr-08,-0.00655
BC,21-Apr-08,17-Apr-08,0.00511
BC,21-Apr-08,18-Apr-08,0.0074
BC,21-Apr-08,21-Apr-08,-0.01368
BC,21-Apr-08,22-Apr-08,-0.00667
BC,21-Apr-08,23-Apr-08,-0.00849
BC,21-Apr-08,24-Apr-08,0.05466
KO,22-Feb-12,16-Feb-12,0.00115
KO,22-Feb-12,17-Feb-12,0.00075
KO,22-Feb-12,21-Feb-12,-0.00556
KO,22-Feb-12,22-Feb-12,0.00678
KO,22-Feb-12,23-Feb-12,-0.00097
KO,22-Feb-12,24-Feb-12,-0.0061
KO,22-Feb-12,27-Feb-12,-0.00405
KO,24-Jan-14,21-Jan-14,0.01726
KO,24-Jan-14,22-Jan-14,0.00085
KO,24-Jan-14,23-Jan-14,-0.00839
KO,24-Jan-14,24-Jan-14,0.0067
